# RANK         NAME              POSE #   SCORE
       1              DB04690     3   -9.550
       2              DB04690     2   -9.550
       3              DB04690     1   -9.550
       4              DB04690     4   -9.550
       5              DB04690     7   -9.540
       6              DB04690     6   -9.540
       7              DB04690     5   -9.540
       8              DB04690     9   -9.540
       9              DB04690     8   -9.540
      10              DB04690    10   -9.530
