# RANK         NAME              POSE #   SCORE
       1              DB04690     1   -9.410
       2              DB04690     3   -9.400
       3              DB04690     2   -9.400
       4              DB04690     7   -9.400
       5              DB04690     6   -9.400
       6              DB04690     5   -9.400
       7              DB04690     4   -9.400
       8              DB04690     8   -9.400
       9              DB04690    10   -9.390
      10              DB04690     9   -9.390
